id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
748,12,1,24,7,47,The Special Theory of Relativity,0,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC47_The+Special+Theory+of+Relativity.pdf
747,12,1,24,7,46,The Nucleus,56,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC46_The+Nucleus.pdf
746,12,1,24,7,45,Semiconductors and Semiconductor Devices,40,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC45_Semiconductors+and+Semiconductor+Devices.pdf
745,12,1,24,7,44,X-rays,27,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC44_X-Rays.pdf
744,12,1,24,7,43,Bohr's Model and Physics of the Atom,47,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC43_Bohr's+Model+and+physics+of+the+Atom.pdf
743,12,1,24,7,42,Photoelectric Effect and Wave-Particle Duality,47,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC42_Photoelectric+Effect+and+Wave-Particle+Duality.pdf
742,12,1,24,7,41,Electric Current through Gases,28,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC41_Electric+Current+through+Gases.pdf
741,12,1,24,7,40,Electromagnetic Waves,36,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC40_Electromagnetic+Waves.pdf
740,12,1,24,7,39,Alternating Current,39,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC39_Alternating+Current.pdf
739,12,1,24,7,38,Electromagnetic Induction,118,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC38_Electromagnetic+Induction.pdf
738,12,1,24,7,37,Magnetic Properties of Matter,28,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC37_Magnetic+Properties+of+Matter.pdf
737,12,1,24,7,36,Permanent Magnets,33,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC36_Permanent+Magnets.pdf
736,12,1,24,7,35,Magnetic Field due to a Current,82,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC35_Magnetic+Field+due+to+a+Current.pdf
735,12,1,24,7,34,Magnetic Field,114,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC34_Magnetic+Field.pdf
734,12,1,24,7,33,Thermal and Chemical Effects of Electric Current,42,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC33_Thermal+and+Chemical+effects+of+Electric+Current.pdf
733,12,1,24,7,32,Electric Current in Conductors,152,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/HC+Verma/12th/HC32_Electric+Current+in+Conductors.pdf
